estacion_servicio,regular,premium,diesel
10369,,,19.99
10369,,22.29,
10369,19.99,,
10663,19.49,,19.89
10663,,21.99,
3145,19.29,,
3145,,,20.99
3145,,22.99,
10698,19.35,21.85,20.67
10459,20.7,22.8,
10608,20.19,22.49,21.29
10500,21.8,,
10656,20.4,22.9,
10554,20.99,,
10554,,23.39,
10417,19.99,22.39,
10646,19.69,22.19,
10646,,,21.15
10658,18.99,22.29,
10658,,,21.13
10564,20.19,22.24,20.19
2831,18.79,,
2831,,22.99,
2831,,,20.79
10703,18.89,22.29,19.29
10648,19.8,21.75,21.2
10504,,22.75,
10504,19.99,,
10504,,,21.99
10596,19.5,21.59,20.3
10466,19.49,,
10466,,21.99,
10507,20.45,22.5,21.2
10547,21.34,,
10547,,,22.74
10547,,22.64,
10762,20.49,22.29,20.99
10353,,,21.55
10353,20.19,22.46,
10496,20.49,22.8,
10496,,,20.99
2987,17.99,,
2987,,21.39,
2987,,,19.99
10309,19.13,21.59,
10309,,,21.35
10706,20.68,22.65,22.83
10732,,23.39,
10732,21.19,,22.29
10617,19.19,,
10617,,,20.75
10617,,21.45,
10263,20.99,,
10263,,22.7,22.81
10639,19.99,22.19,21.89
10345,,,21.99
10345,,22.35,
10345,20.12,,
10592,20.34,,
10592,,22.99,
10683,19.29,21.79,
10683,,,20.95
10725,20.64,22.64,21.69
2759,21.29,,
2759,,,22.45
2759,,23.99,
10293,,,21.09
10293,19.55,21.79,
10748,20.8,23.2,
10527,19.39,,
10527,,21.64,
10527,,,21.25
10402,19.99,22.09,
10324,19.97,20.85,20.85
10702,18.99,21.45,20.95
10307,17.99,18.35,18.22
10520,19.19,21.35,20.75
10325,20.71,23.15,21.99
10651,19.69,,
10651,,21.29,
10651,,,21.49
2774,20.29,,
2774,,,20.99
2774,,22.99,
10317,19.42,21.59,20.5
10412,21.89,23.19,23.19
10342,21.43,23.19,23.07
10425,21.79,22.99,23.19
10728,21.89,23.19,23.19
10333,21.29,22.89,22.69
10411,20.09,21.99,21.99
10487,21.77,22.83,22.88
10640,20.47,22.45,
10774,20.89,22.69,22.89
2752,18.69,,
2752,,21.09,
2752,,,21.09
10403,16.99,,
10403,,18.7,
10403,,,21.79
10450,15.8,,
10450,,,20.99
10450,,18.7,
10335,16.99,,
10335,,18.7,
10763,16.99,,
10763,,18.7,
10763,,,21.79
10513,20.39,22.99,
10537,19.59,22.99,
10482,21.99,23.99,21.94
10717,20.49,23.55,
10717,,,21.99
10409,,22.99,
10409,20.99,,21.99
10546,,22.99,21.89
10546,20.49,,
2780,18.99,,
2780,,,21.19
2780,,21.99,
10695,21.39,23.69,22.25
10316,21.29,23.29,21.99
10330,19.16,21.43,
10641,19.99,22.09,
10603,20.99,22.49,22.54
10740,20.99,22.49,22.54
10625,20.73,,
10625,,22.19,
10625,,,22.2
10514,20.5,21.8,21.7
10569,19.29,21.49,
10569,,,17.34
10523,19.69,21.99,20.99
2932,19.89,,
2932,,,20.45
2932,,22.09,
10747,16.99,19.49,20.99
10437,19.77,21.99,
10271,19.93,,
