id_estacion,nombre,latitud,longitud
2214,estacion de servicio venta de carpio sa de cv,19.6214,-99.00452
2215,servicios del valle del fuerte sa de cv,25.78968,-109.0119
2216,gasolineras paba sa de cv ,24.14254,-110.314
2217,petromax sa de cv,25.76277,-100.4024
2218,energeticos y servicios ocozocoautla  sa de cv ,14.91567,-92.34282
2219,petromax sa de cv,25.73068,-100.253
2220,apoyos y sumincomerciales e indust sa de cv ,32.52634,-117.0852
2221,grupo empresarial cachanilla sa de cv,32.65948,-115.3744
2222,grupo empresarial cachanilla sa de cv,32.59562,-115.4325
2223,estacion cucapah sa de cv,32.51322,-116.8796
2224,petromax sa de cv,25.82103,-100.264
2225,estacion grugas s de rl de cv,32.53901,-116.9147
2226,distribuidora de cobustibles las cañadas sa de cv ,16.08285,-90.63845
2227,servicios energeticos brisas sa de cv,25.48155,-100.9835
2228,petromax sa de cv,25.78637,-100.3206
2229,petro servicios del sureste sa de cv,17.90663,-93.12914
2230,becktrop operadora sa de cv,32.65059,-115.4722
2231,gasolineria lazaro chanona borges sa de cv ,16.76469,-93.38528
2232,petromax sa de cv,25.77943,-100.318
2233,gasolinera norponiente sa de cv,21.14857,-86.89943
2234,distribuidora de cobustibles las cañadas sa de cv ,16.50013,-90.65433
2235,petromax sa de cv,19.6322,-99.0914
2236,estacion de servicio cantabria sa de cv,18.88947,-99.19987
2237,grupo octano sa de cv,21.0257,-105.2634
2238,gasolinera guasave sa de cv,25.56817,-108.4668
2239,petromax sa de cv,26.08957,-98.29279
2240,grupo empresarial cachanilla sa de cv,32.58874,-115.5797
2241,servicios del valle del fuerte sa de cv,25.79292,-109.0046
2242,servicio jardines sa de cv ( es12369),20.3788,-90.04852
2243,gasolinera colon sa de cv,20.65207,-103.3658
2244,petromax sa de cv,25.69688,-100.3575
2245,grupo octano sa de cv,21.47486,-104.8595
2246,servicios del valle del fuerte sa de cv,25.82133,-108.9919
2247,petromax sa de cv,25.50189,-100.9627
2248,operadora las cruces sa de cv,28.70271,-100.5463
2249,petromax sa de cv,28.68869,-106.1335
2250,grupo gocalvi sa de cv,31.72121,-106.4936
2251,estacion el encanto sa de cv,32.56519,-116.6503
2252,grupo empresarial cachanilla sa de cv,32.59637,-115.483
2253,gasolineria turquesa sa de cv ,19.67295,-99.07876
2254,servicios del valle del fuerte sa de cv,25.76621,-108.9903
2255,petromax sa de cv,25.76333,-100.4128
2256,estacion rael s de rl de cv,32.50251,-116.8668
2257,grupo octano sa de cv,20.95066,-105.3483
2258,multiservicios la pilarica sa de cv ,25.70819,-108.7157
2259,diaz gas sa de cv,31.7203,-106.4733
2260,estacion rael s de rl de cv,32.64334,-115.506
2261,petromax sa de cv,25.78744,-100.5805
2262,grupo octano sa de cv,19.67717,-101.2223
2263,petromax sa de cv,25.44611,-100.846
2264,servicio ag santa rosa sa de cv,27.88953,-101.4273
2265,ary super servicios ii sa de cv,25.54451,-103.5191
2266,gaeli diesel sa de cv,18.65546,-91.82955
2267,petromax sa de cv,19.47922,-99.10912
2268,servicio cibola sa de cv,32.53784,-117.0165
2269,combustibles y reparaciones de chiapas sa de cv,16.76767,-93.1921
2270,estacion la victoria sa de cv,32.57238,-116.6227
2271,petromax sa de cv,25.75637,-100.2961
2272,gasolineria magnolias sa de cv,19.37437,-99.09545
2273,operadora de combustible sa de cv,24.1315,-110.2967
2274,petromax sa de cv,26.00909,-98.27705
2275,petromax sa de cv,32.51204,-116.9097
2276,multiservicios la pilarica sa de cv ,25.8021,-108.9416
2277,petroliferos la territorial s de rl de cv,20.76174,-105.3485
2278,petromax sa de cv,25.42441,-100.1539
2279,petromax sa de cv,25.5994,-103.4968
2280,petromax sa de cv,25.53979,-103.3584
2281,petromax sa de cv,25.73066,-100.1625
2282,servicio 8 de enero sa de cv,26.99841,-101.4921
2283,gasolinera el 27 sa de cv,23.73274,-99.16292
2284,petromax sa de cv,25.69145,-100.1952
2285,petroliferos la territorial s de rl de cv,32.66468,-115.4868
2286,petromax sa de cv,25.67348,-100.3921
2287,estacion de servicio sauvage sa de cv,19.61582,-99.02579
2288,grupo octano sa de cv,19.82875,-101.0389
